Player,Team,Position,Championship Season,Championship Assists,FPL Season,FPL Points,FPL Goals,FPL Assists,Player (FPL Season),Player (FPL Season) - Short
Harry Wilson,Fulham,MID,2021-22,19,2022-23,68.0,2.0,5.0,Harry Wilson (2022-23),Wilson: 22/23
Matheus Pereira,West Brom,MID,2019-20,17,2020-21,153.0,11.0,7.0,Matheus Pereira (2020-21),Pereira: 20/21
Barry Douglas,Wolves,DEF,2017-18,14,2018-19,0.0,0.0,0.0,Barry Douglas (2018-19),Douglas: 18/19
Ivan Cavaleiro,Wolves,MID,2017-18,12,2018-19,48.0,3.0,1.0,Ivan Cavaleiro (2018-19),Cavaleiro: 18/19
Junior Hoilett,Cardiff,MID,2017-18,11,2018-19,82.0,3.0,2.0,Junior Hoilett (2018-19),Hoilett: 18/19
Emiliano Buendia,Norwich,MID,2018-19,11,2019-20,94.0,1.0,7.0,Emiliano Buendia (2019-20),Buendia: 19/20
Conor Hourihane,Aston Villa,MID,2018-19,11,2019-20,83.0,3.0,5.0,Conor Hourihane (2019-20),Hourihane: 19/20
Andre Gray,Burnley,FWD,2015-16,11,2016-17,108.0,9.0,3.0,Andre Gray (2016-17),Gray: 16/17
Iliman Ndiaye,Sheffield Utd,FWD,2022-23,11,2023-24,0.0,0.0,0.0,Iliman Ndiaye (2023-24),Ndiaye: 23/24
Bryan Mbeumo,Brentford,MID,2020-21,10,2021-22,119.0,4.0,7.0,Bryan Mbeumo (2021-22),Mbeumo: 21/22
Ivan Toney,Brentford,FWD,2020-21,10,2021-22,139.0,12.0,5.0,Ivan Toney (2021-22),Toney: 21/22
Teemu Pukki,Norwich,FWD,2018-19,10,2019-20,139.0,11.0,3.0,Teemu Pukki (2019-20),Pukki: 19/20
John Fleck,Sheffield Utd,MID,2018-19,10,2019-20,101.0,5.0,2.0,John Fleck (2019-20),Fleck: 19/20
Philip Billing,Bournemouth,MID,2021-22,10,2022-23,126.0,7.0,2.0,Philip Billing (2022-23),Billing: 22/23
Brennan Johnson,Nott'm Forest,FWD,2021-22,10,2022-23,122.0,8.0,5.0,Brennan Johnson (2022-23),Johnson: 22/23
John McGinn,Aston Villa,MID,2018-19,9,2019-20,84.0,3.0,3.0,John McGinn (2019-20),McGinn: 19/20
Onel Hernández,Norwich,MID,2018-19,9,2019-20,52.0,1.0,2.0,Onel Hernández (2019-20),Hernández: 19/20
Jack Harrison,Leeds,MID,2019-20,9,2020-21,160.0,8.0,10.0,Jack Harrison (2020-21),Harrison: 20/21
Pablo Hernández,Leeds,MID,2019-20,9,2020-21,28.0,0.0,3.0,Pablo Hernández (2020-21),Hernández: 20/21
Stefan Johansen,Fulham,MID,2017-18,8,2018-19,11.0,0.0,0.0,Stefan Johansen (2018-19),Johansen: 18/19
Oliver Norwood,Sheffield Utd,MID,2018-19,8,2019-20,98.0,1.0,3.0,Oliver Norwood (2019-20),Norwood: 19/20
Josh Brownhill,Burnley,MID,2022-23,8,2023-24,78.0,4.0,2.0,Josh Brownhill (2023-24),Brownhill: 23/24
David Nugent,Middlesbrough,FWD,2015-16,8,2016-17,4.0,0.0,0.0,David Nugent (2016-17),Nugent: 16/17
Bobby De Cordova-Reid,Fulham,MID,2021-22,8,2022-23,90.0,4.0,1.0,Bobby De Cordova-Reid (2022-23),De Cordova/Reid: 22/23
Sam Clucas,Hull,MID,2015-16,8,2016-17,87.0,3.0,1.0,Sam Clucas (2016-17),Clucas: 16/17
Ahmed Elmohamady,Aston Villa,DEF,2018-19,8,2019-20,39.0,1.0,1.0,Ahmed Elmohamady (2019-20),Elmohamady: 19/20
Ryan Christie,Bournemouth,MID,2021-22,8,2022-23,64.0,1.0,2.0,Ryan Christie (2022-23),Christie: 22/23
Anthony Knockaert,Brighton,MID,2016-17,8,2017-18,88.0,3.0,1.0,Anthony Knockaert (2017-18),Knockaert: 17/18
Jonjo Shelvey,Newcastle,MID,2016-17,8,2017-18,73.0,1.0,4.0,Jonjo Shelvey (2017-18),Shelvey: 17/18
Tommy Smith,Huddersfield,DEF,2016-17,8,2017-18,50.0,0.0,1.0,Tommy Smith (2017-18),Smith: 17/18
Dominic Solanke,Bournemouth,FWD,2021-22,7,2022-23,130.0,6.0,10.0,Dominic Solanke (2022-23),Solanke: 22/23
Aleksandar Mitrović,Fulham,FWD,2021-22,7,2022-23,107.0,14.0,2.0,Aleksandar Mitrović (2022-23),Mitrović: 22/23
Aaron Mooy,Huddersfield,MID,2016-17,7,2017-18,113.0,4.0,3.0,Aaron Mooy (2017-18),Mooy: 17/18
Matt Ritchie,Newcastle,MID,2016-17,7,2017-18,116.0,3.0,7.0,Matt Ritchie (2017-18),Ritchie: 17/18
Kamil Grosicki,West Brom,MID,2019-20,7,2020-21,8.0,0.0,1.0,Kamil Grosicki (2020-21),Grosicki: 20/21
George Boyd,Burnley,MID,2015-16,7,2016-17,92.0,2.0,2.0,George Boyd (2016-17),Boyd: 16/17
David Jones,Burnley,MID,2015-16,7,2016-17,1.0,0.0,0.0,David Jones (2016-17),Jones: 16/17
Mathias Jensen,Brentford,MID,2020-21,7,2021-22,54.0,0.0,1.0,Mathias Jensen (2021-22),Jensen: 21/22
Gary Madine,Cardiff,FWD,2017-18,7,2018-19,5.0,0.0,0.0,Gary Madine (2018-19),Madine: 18/19
Mario Vrančić,Norwich,MID,2018-19,7,2019-20,29.0,1.0,0.0,Mario Vrančić (2019-20),Vrančić: 19/20
Joe Bryan,Fulham,DEF,2019-20,7,2020-21,27.0,1.0,1.0,Joe Bryan (2020-21),Bryan: 20/21
Todd Cantwell,Norwich,MID,2020-21,6,2021-22,10.0,0.0,0.0,Todd Cantwell (2021-22),Cantwell: 21/22
Ahmed Elmohamady,Hull,MID,2015-16,6,2016-17,62.0,0.0,2.0,Ahmed Elmohamady (2016-17),Elmohamady: 16/17
Jaidon Anthony,Bournemouth,MID,2021-22,6,2022-23,61.0,3.0,1.0,Jaidon Anthony (2022-23),Anthony: 22/23
Scott Arfield,Burnley,MID,2015-16,6,2016-17,69.0,1.0,2.0,Scott Arfield (2016-17),Arfield: 16/17
Kenny McLean,Norwich,MID,2020-21,6,2021-22,69.0,1.0,0.0,Kenny McLean (2021-22),McLean: 21/22
Sergi Canós,Brentford,MID,2020-21,6,2021-22,81.0,3.0,3.0,Sergi Canós (2021-22),Canós: 21/22
Marco Stiepermann,Norwich,MID,2018-19,6,2019-20,32.0,0.0,0.0,Marco Stiepermann (2019-20),Stiepermann: 19/20
Hélder Costa,Wolves,MID,2017-18,6,2018-19,52.0,1.0,2.0,Hélder Costa (2018-19),Costa: 18/19
Grady Diangana,West Brom,MID,2019-20,6,2020-21,39.0,1.0,0.0,Grady Diangana (2020-21),Diangana: 20/21
Ryan Sessegnon,Fulham,MID,2017-18,6,2018-19,94.0,2.0,7.0,Ryan Sessegnon (2018-19),Sessegnon: 18/19
Neeskens Kebano,Fulham,MID,2021-22,6,2022-23,40.0,0.0,4.0,Neeskens Kebano (2022-23),Kebano: 22/23
Enda Stevens,Sheffield Utd,DEF,2018-19,6,2019-20,142.0,2.0,4.0,Enda Stevens (2019-20),Stevens: 19/20
Carlton Morris,Luton,FWD,2022-23,6,2023-24,146.0,11.0,6.0,Carlton Morris (2023-24),Morris: 23/24
Anass Zaroury,Burnley,MID,2022-23,6,2023-24,4.0,0.0,0.0,Anass Zaroury (2023-24),Zaroury: 23/24
Connor Roberts,Burnley,DEF,2022-23,6,2023-24,12.0,0.0,1.0,Connor Roberts (2023-24),Roberts: 23/24
Anwar el Ghazi,Aston Villa,MID,2018-19,6,2019-20,93.0,4.0,5.0,Anwar el Ghazi (2019-20),el Ghazi: 19/20
Jóhann Guðmundsson,Burnley,MID,2022-23,6,2023-24,48.0,1.0,3.0,Jóhann Guðmundsson (2023-24),Guðmundsson: 23/24
Kenny McLean,Norwich,MID,2018-19,6,2019-20,77.0,1.0,1.0,Kenny McLean (2019-20),McLean: 19/20
Mark Duffy,Sheffield Utd,MID,2018-19,6,2019-20,0.0,0.0,0.0,Mark Duffy (2019-20),Duffy: 19/20
