Player,Team,Position,Championship Season,Championship Goals,FPL Season,FPL Points,FPL Goals,FPL Assists,Player (FPL Season),Player (FPL Season) - Short
Aleksandar Mitrović,Fulham,FWD,2021-22,43,2022-23,107.0,14.0,2.0,Aleksandar Mitrović (2022-23),Mitrović: 22-23
Ivan Toney,Brentford,FWD,2020-21,30,2021-22,139.0,12.0,5.0,Ivan Toney (2021-22),Toney: 21-22
Teemu Pukki,Norwich,FWD,2018-19,29,2019-20,139.0,11.0,3.0,Teemu Pukki (2019-20),Pukki: 19-20
Dominic Solanke,Bournemouth,FWD,2021-22,29,2022-23,130.0,6.0,10.0,Dominic Solanke (2022-23),Solanke: 22-23
Aleksandar Mitrović,Fulham,FWD,2019-20,26,2020-21,63.0,3.0,3.0,Aleksandar Mitrović (2020-21),Mitrović: 20-21
Teemu Pukki,Norwich,FWD,2020-21,26,2021-22,142.0,11.0,3.0,Teemu Pukki (2021-22),Pukki: 21-22
Andre Gray,Burnley,FWD,2015-16,25,2016-17,108.0,9.0,3.0,Andre Gray (2016-17),Gray: 16-17
Glenn Murray,Brighton,FWD,2016-17,23,2017-18,111.0,12.0,0.0,Glenn Murray (2017-18),Murray: 17-18
Dwight Gayle,Newcastle,FWD,2016-17,23,2017-18,94.0,6.0,3.0,Dwight Gayle (2017-18),Gayle: 17-18
Billy Sharp,Sheffield Utd,FWD,2018-19,23,2019-20,57.0,3.0,2.0,Billy Sharp (2019-20),Sharp: 19-20
Abel Hernández,Hull,FWD,2015-16,20,2016-17,72.0,4.0,4.0,Abel Hernández (2016-17),Hernández: 16-17
Carlton Morris,Luton,FWD,2022-23,20,2023-24,146.0,11.0,6.0,Carlton Morris (2023-24),Morris: 23-24
Diogo Jota,Wolves,MID,2017-18,17,2018-19,139.0,9.0,8.0,Diogo Jota (2018-19),Jota: 18-19
Patrick Bamford,Leeds,FWD,2019-20,16,2020-21,194.0,17.0,11.0,Patrick Bamford (2020-21),Bamford: 20-21
Jordan Rhodes,Middlesbrough,FWD,2015-16,16,2016-17,8.0,0.0,0.0,Jordan Rhodes (2016-17),Rhodes: 16-17
Brennan Johnson,Nott'm Forest,FWD,2021-22,16,2022-23,122.0,8.0,5.0,Brennan Johnson (2022-23),Johnson: 22-23
Ryan Sessegnon,Fulham,MID,2017-18,15,2018-19,94.0,2.0,7.0,Ryan Sessegnon (2018-19),Sessegnon: 18-19
David McGoldrick,Sheffield Utd,FWD,2018-19,15,2019-20,65.0,2.0,2.0,David McGoldrick (2019-20),McGoldrick: 19-20
Sam Vokes,Burnley,FWD,2015-16,15,2016-17,121.0,10.0,4.0,Sam Vokes (2016-17),Vokes: 16-17
Anthony Knockaert,Brighton,MID,2016-17,15,2017-18,88.0,3.0,1.0,Anthony Knockaert (2017-18),Knockaert: 17-18
Iliman Ndiaye,Sheffield Utd,FWD,2022-23,14,2023-24,0.0,0.0,0.0,Iliman Ndiaye (2023-24),Ndiaye: 23-24
Ismaïla Sarr,Watford,MID,2020-21,13,2021-22,81.0,5.0,2.0,Ismaïla Sarr (2021-22),Sarr: 21-22
Oliver McBurnie,Sheffield Utd,FWD,2022-23,13,2023-24,66.0,6.0,3.0,Oliver McBurnie (2023-24),McBurnie: 23-24
Elias Kachunga,Huddersfield,MID,2016-17,12,2017-18,46.0,1.0,1.0,Elias Kachunga (2017-18),Kachunga: 17-18
Aleksandar Mitrović,Fulham,FWD,2017-18,12,2018-19,134.0,11.0,4.0,Aleksandar Mitrović (2018-19),Mitrović: 18-19
Matt Ritchie,Newcastle,MID,2016-17,12,2017-18,116.0,3.0,7.0,Matt Ritchie (2017-18),Ritchie: 17-18
Manuel Benson,Burnley,MID,2022-23,12,2023-24,8.0,0.0,0.0,Manuel Benson (2023-24),Benson: 23-24
Tomer Hemed,Brighton,FWD,2016-17,11,2017-18,43.0,2.0,2.0,Tomer Hemed (2017-18),Hemed: 17-18
Philip Billing,Bournemouth,MID,2021-22,10,2022-23,126.0,7.0,2.0,Philip Billing (2022-23),Billing: 22-23
Jay Rodriguez,Burnley,FWD,2022-23,10,2023-24,41.0,2.0,1.0,Jay Rodriguez (2023-24),Rodriguez: 23-24
Callum Paterson,Cardiff,MID,2017-18,10,2018-19,80.0,4.0,2.0,Callum Paterson (2018-19),Paterson: 18-19
Gary Madine,Cardiff,FWD,2017-18,10,2018-19,5.0,0.0,0.0,Gary Madine (2018-19),Madine: 18-19
Harry Wilson,Fulham,MID,2021-22,10,2022-23,68.0,2.0,5.0,Harry Wilson (2022-23),Wilson: 22-23
Charlie Austin,West Brom,FWD,2019-20,10,2020-21,5.0,0.0,0.0,Charlie Austin (2020-21),Austin: 20-21
Hal Robson-Kanu,West Brom,FWD,2019-20,10,2020-21,30.0,2.0,0.0,Hal Robson-Kanu (2020-21),Robson-Kanu: 20-21
Mario Vrančić,Norwich,MID,2018-19,10,2019-20,29.0,1.0,0.0,Mario Vrančić (2019-20),Vrančić: 19-20
Sam Baldock,Brighton,FWD,2016-17,10,2017-18,2.0,0.0,0.0,Sam Baldock (2017-18),Baldock: 17-18
Ivan Cavaleiro,Wolves,MID,2017-18,9,2018-19,48.0,3.0,1.0,Ivan Cavaleiro (2018-19),Cavaleiro: 18-19
Kenneth Zohoré,Cardiff,FWD,2017-18,9,2018-19,33.0,1.0,1.0,Kenneth Zohoré (2018-19),Zohoré: 18-19
Ayoze Pérez,Newcastle,FWD,2016-17,9,2017-18,124.0,8.0,6.0,Ayoze Pérez (2017-18),Pérez: 17-18
Junior Hoilett,Cardiff,MID,2017-18,9,2018-19,82.0,3.0,2.0,Junior Hoilett (2018-19),Hoilett: 18-19
Jonathan Kodjia,Aston Villa,FWD,2018-19,9,2019-20,5.0,0.0,0.0,Jonathan Kodjia (2019-20),Kodjia: 19-20
Marco Stiepermann,Norwich,MID,2018-19,9,2019-20,32.0,0.0,0.0,Marco Stiepermann (2019-20),Stiepermann: 19-20
Pablo Hernández,Leeds,MID,2019-20,9,2020-21,28.0,0.0,3.0,Pablo Hernández (2020-21),Hernández: 20-21
Neeskens Kebano,Fulham,MID,2021-22,9,2022-23,40.0,0.0,4.0,Neeskens Kebano (2022-23),Kebano: 22-23
James McAtee,Sheffield Utd,MID,2022-23,9,2023-24,77.0,3.0,4.0,James McAtee (2023-24),McAtee: 23-24
Momo Diamé,Hull,MID,2015-16,9,2016-17,0.0,0.0,0.0,Momo Diamé (2016-17),Diamé: 16-17
Sergi Canós,Brentford,MID,2020-21,9,2021-22,81.0,3.0,3.0,Sergi Canós (2021-22),Canós: 21-22
Tom Cairney,Fulham,MID,2019-20,8,2020-21,27.0,1.0,1.0,Tom Cairney (2020-21),Cairney: 20-21
Ryan Yates,Nott'm Forest,MID,2021-22,8,2022-23,53.0,0.0,3.0,Ryan Yates (2022-23),Yates: 22-23
Lyle Taylor,Nott'm Forest,FWD,2021-22,8,2022-23,0.0,0.0,0.0,Lyle Taylor (2022-23),Taylor: 22-23
Bobby De Cordova-Reid,Fulham,MID,2021-22,8,2022-23,90.0,4.0,1.0,Bobby De Cordova-Reid (2022-23),De Cordova-Reid: 22-23
Stefan Johansen,Fulham,MID,2017-18,8,2018-19,11.0,0.0,0.0,Stefan Johansen (2018-19),Johansen: 18-19
David Nugent,Middlesbrough,FWD,2015-16,8,2016-17,4.0,0.0,0.0,David Nugent (2016-17),Nugent: 16-17
Kamil Grosicki,West Brom,MID,2019-20,8,2020-21,8.0,0.0,1.0,Kamil Grosicki (2020-21),Grosicki: 20-21
Jaidon Anthony,Bournemouth,MID,2021-22,8,2022-23,61.0,3.0,1.0,Jaidon Anthony (2022-23),Anthony: 22-23
Onel Hernández,Norwich,MID,2018-19,8,2019-20,52.0,1.0,2.0,Onel Hernández (2019-20),Hernández: 19-20
Scott Arfield,Burnley,MID,2015-16,8,2016-17,69.0,1.0,2.0,Scott Arfield (2016-17),Arfield: 16-17
Matheus Pereira,West Brom,MID,2019-20,8,2020-21,153.0,11.0,7.0,Matheus Pereira (2020-21),Pereira: 20-21
Grady Diangana,West Brom,MID,2019-20,8,2020-21,39.0,1.0,0.0,Grady Diangana (2020-21),Diangana: 20-21
Emiliano Buendia,Norwich,MID,2018-19,8,2019-20,94.0,1.0,7.0,Emiliano Buendia (2019-20),Buendia: 19-20
Bryan Mbeumo,Brentford,MID,2020-21,8,2021-22,119.0,4.0,7.0,Bryan Mbeumo (2021-22),Mbeumo: 21-22
