Player,Position,Championship Season,Championship Goals,FPL Season,FPL Points,FPL Goals,FPL Assists,FPL Value,Player (FPL Season),Player (FPL Season) - Short,Championship Team,FPL Team
Aleksandar Mitrović,FWD,2021-22,43,2022-23,107.0,14.0,2.0,65.0,Aleksandar Mitrović (2022-23),Mitrović: 22/23,Fulham,Fulham
Ivan Toney,FWD,2020-21,30,2021-22,139.0,12.0,5.0,65.0,Ivan Toney (2021-22),Toney: 21/22,Brentford,Brentford
Teemu Pukki,FWD,2018-19,29,2019-20,139.0,11.0,3.0,65.0,Teemu Pukki (2019-20),Pukki: 19/20,Norwich,Norwich
Dominic Solanke,FWD,2021-22,29,2022-23,130.0,6.0,10.0,60.0,Dominic Solanke (2022-23),Solanke: 22/23,Bournemouth,Bournemouth
Aleksandar Mitrović,FWD,2019-20,26,2020-21,63.0,3.0,3.0,60.0,Aleksandar Mitrović (2020-21),Mitrović: 20/21,Fulham,Fulham
Teemu Pukki,FWD,2020-21,26,2021-22,142.0,11.0,3.0,60.0,Teemu Pukki (2021-22),Pukki: 21/22,Norwich,Norwich
Andre Gray,FWD,2015-16,25,2016-17,108.0,9.0,3.0,65.0,Andre Gray (2016-17),Gray: 16/17,Burnley,Burnley
Glenn Murray,FWD,2016-17,23,2017-18,111.0,12.0,0.0,60.0,Glenn Murray (2017-18),Murray: 17/18,Brighton,Brighton
Dwight Gayle,FWD,2016-17,23,2017-18,94.0,6.0,3.0,65.0,Dwight Gayle (2017-18),Gayle: 17/18,Newcastle,Newcastle
Billy Sharp,FWD,2018-19,23,2019-20,57.0,3.0,2.0,60.0,Billy Sharp (2019-20),Sharp: 19/20,Sheffield Utd,Sheffield Utd
Abel Hernández,FWD,2015-16,20,2016-17,72.0,4.0,4.0,60.0,Abel Hernández (2016-17),Hernández: 16/17,Hull,Hull
Carlton Morris,FWD,2022-23,20,2023-24,146.0,11.0,6.0,55.0,Carlton Morris (2023-24),Morris: 23/24,Luton,Luton
Diogo Jota,MID,2017-18,17,2018-19,139.0,9.0,8.0,65.0,Diogo Jota (2018-19),Jota: 18/19,Wolves,Wolves
Patrick Bamford,FWD,2019-20,16,2020-21,194.0,17.0,11.0,55.0,Patrick Bamford (2020-21),Bamford: 20/21,Leeds,Leeds
Jordan Rhodes,FWD,2015-16,16,2016-17,8.0,0.0,0.0,60.0,Jordan Rhodes (2016-17),Rhodes: 16/17,Middlesbrough,Middlesbrough
Brennan Johnson,FWD,2021-22,16,2022-23,122.0,8.0,5.0,60.0,Brennan Johnson (2022-23),Johnson: 22/23,Nott'm Forest,Nott'm Forest
Ryan Sessegnon,MID,2017-18,15,2018-19,94.0,2.0,7.0,65.0,Ryan Sessegnon (2018-19),Sessegnon: 18/19,Fulham,Fulham
David McGoldrick,FWD,2018-19,15,2019-20,65.0,2.0,2.0,55.0,David McGoldrick (2019-20),McGoldrick: 19/20,Sheffield Utd,Sheffield Utd
