name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,count_gws_min_minutes,minutes_played,min_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Mohamed Salah,Liverpool,303,MID,32,12,15,1,0,29,0,1,0,0,26,90,33.0,2905,1,4,0,0,0,0,0,0,2017-18,0
Raheem Sterling,Man City,229,MID,18,17,13,3,1,23,0,0,0,0,19,80,28.0,2584,1,4,0,0,0,0,0,0,2017-18,0
Harry Kane,Spurs,217,FWD,29,2,15,5,0,34,0,1,0,0,31,125,32.0,3074,1,1,0,0,0,0,0,0,2017-18,0
Kevin De Bruyne,Man City,209,MID,8,18,19,2,0,22,0,0,0,0,25,100,36.0,3073,1,4,0,0,0,0,0,0,2017-18,0
Christian Eriksen,Spurs,199,MID,11,10,17,0,0,33,0,0,0,0,23,95,34.0,3218,1,1,0,0,0,0,0,0,2017-18,0
Riyad Mahrez,Leicester,195,MID,12,13,9,2,0,51,0,0,0,0,19,85,31.0,2948,1,2,0,0,0,0,0,0,2017-18,0
Jamie Vardy,Leicester,183,FWD,20,2,8,3,0,57,0,1,0,0,28,85,35.0,3248,1,2,0,0,0,0,0,0,2017-18,0
Roberto Firmino,Liverpool,181,FWD,15,8,16,1,0,32,0,0,0,0,29,85,32.0,2760,1,4,0,0,0,0,0,0,2017-18,0
Leroy Sané,Man City,179,MID,10,15,12,4,0,22,0,0,0,0,17,85,26.0,2415,1,4,0,0,0,0,0,0,2017-18,0
Heung-Min Son,Spurs,178,MID,12,8,14,0,0,18,0,0,0,0,16,80,26.0,2292,1,1,0,0,0,0,0,0,2017-18,0
Bamidele Alli,Spurs,175,MID,9,13,16,7,0,28,0,0,0,0,12,95,32.0,2957,1,1,0,0,0,0,0,0,2017-18,0
César Azpilicueta,Chelsea,175,DEF,2,6,15,1,0,38,1,0,0,0,25,65,35.0,3330,1,5,0,0,0,0,0,0,2017-18,0
Eden Hazard,Chelsea,173,MID,12,6,12,2,0,27,0,0,0,0,24,105,27.0,2417,1,5,0,0,0,0,0,0,2017-18,0
David de Gea,Man Utd,172,GK,0,0,18,0,0,28,0,0,0,115,10,55,35.0,3330,1,4,0,0,0,0,0,0,2017-18,0
Sergio Agüero,Man City,169,FWD,21,6,13,2,0,12,0,0,0,0,22,115,22.0,1960,1,4,0,0,0,0,0,0,2017-18,0
David Silva,Man City,169,MID,9,11,14,5,0,18,0,0,0,0,26,80,27.0,2431,1,4,0,0,0,0,0,0,2017-18,0
Marcos Alonso,Chelsea,165,DEF,7,2,13,6,0,30,0,0,0,0,15,70,30.0,2855,1,5,0,0,0,0,0,0,2017-18,0
Pascal Groß,Brighton,164,MID,7,8,10,2,0,46,0,0,0,0,24,55,33.0,2928,1,1,0,0,0,0,0,0,2017-18,1
Romelu Lukaku,Man Utd,162,FWD,16,7,14,4,0,26,0,1,0,0,18,115,31.0,2866,1,4,0,0,0,0,0,0,2017-18,0
Ederson Santana de Moraes,Man City,158,GK,0,0,16,1,0,26,0,0,2,58,10,55,35.0,3195,1,4,0,0,0,0,0,0,2017-18,0
Lukasz Fabianski,Swansea,157,GK,0,0,9,0,0,56,0,0,3,137,14,45,37.0,3420,1,2,0,0,0,0,0,0,2017-18,0
Nicolás Otamendi,Man City,156,DEF,4,0,15,9,0,25,1,0,0,0,21,55,33.0,2966,1,4,0,0,0,0,0,0,2017-18,0
Xherdan Shaqiri,Stoke,155,MID,8,9,6,5,0,58,0,1,0,0,19,60,34.0,3039,1,2,0,0,0,0,0,0,2017-18,0
Nick Pope,Burnley,152,GK,0,0,11,3,0,35,0,0,1,113,19,45,33.0,3114,1,2,0,0,0,0,0,0,2017-18,0
Alexis Sánchez,Man Utd,152,MID,9,10,11,5,0,32,0,1,0,0,13,120,29.0,2546,1,4,0,0,0,0,0,0,2017-18,0
Sadio Mané,Liverpool,147,MID,10,8,15,3,1,24,0,0,0,0,8,95,27.0,2189,1,4,0,0,0,0,0,0,2017-18,0
Mathew Ryan,Brighton,146,GK,0,0,10,0,0,54,0,0,2,124,13,45,36.0,3420,1,1,0,0,0,0,0,0,2017-18,1
Antonio Valencia,Man Utd,146,DEF,3,1,16,7,0,22,0,0,0,0,13,65,31.0,2741,1,4,0,0,0,0,0,0,2017-18,0
