name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
Mohamed Salah,Liverpool,265,MID,23,14,17,1,0,22,0,1,0,0,29,125,5,1340,1360,1300,1350,1340,1350,2021-22
Heung-Min Son,Spurs,258,MID,23,10,18,2,0,30,0,0,0,0,27,100,4,1210,1270,1190,1200,1210,1210,2021-22
Trent Alexander-Arnold,Liverpool,208,DEF,2,12,18,2,0,22,0,0,0,0,32,75,5,1340,1360,1300,1350,1340,1350,2021-22
Jarrod Bowen,West Ham,206,MID,12,17,8,6,0,46,0,0,0,0,24,65,3,1130,1190,1110,1150,1160,1180,2021-22
João Pedro Cavaco Cancelo,Man City,201,DEF,1,11,19,7,0,25,0,0,0,0,27,60,5,1350,1370,1340,1360,1340,1360,2021-22
Kevin De Bruyne,Man City,196,MID,15,8,13,2,0,22,0,0,0,0,33,120,5,1350,1370,1340,1360,1340,1360,2021-22
Harry Kane,Spurs,192,FWD,17,11,14,5,0,40,0,0,0,0,23,125,4,1210,1270,1190,1200,1210,1210,2021-22
Andrew Robertson,Liverpool,186,DEF,3,11,17,5,1,20,0,0,0,0,23,70,5,1340,1360,1300,1350,1340,1350,2021-22
Sadio Mané,Liverpool,183,MID,16,5,17,5,0,24,0,0,0,0,10,120,5,1340,1360,1300,1350,1340,1350,2021-22
Virgil van Dijk,Liverpool,183,DEF,3,3,21,3,0,21,0,0,0,0,13,65,5,1340,1360,1300,1350,1340,1350,2021-22
James Maddison,Leicester,181,MID,12,11,5,3,0,41,0,0,0,0,24,70,3,1090,1200,1100,1080,1150,1160,2021-22
Bukayo Saka,Arsenal,179,MID,11,9,13,6,0,39,0,0,0,0,18,65,4,1250,1270,1150,1210,1190,1220,2021-22
Alisson Ramses Becker,Liverpool,176,GK,0,1,20,0,0,24,1,0,0,75,15,60,5,1340,1360,1300,1350,1340,1350,2021-22
Diogo Jota,Liverpool,175,MID,15,7,14,3,0,19,0,0,0,0,8,75,5,1340,1360,1300,1350,1340,1350,2021-22
Joel Matip,Liverpool,170,DEF,3,3,17,2,0,21,0,0,0,0,20,50,5,1340,1360,1300,1350,1340,1350,2021-22
Mason Mount,Chelsea,169,MID,11,11,11,4,0,25,0,0,0,0,16,75,4,1290,1320,1300,1300,1250,1290,2021-22
Raheem Sterling,Man City,163,MID,13,7,13,1,0,17,0,1,0,0,15,110,5,1350,1370,1340,1360,1340,1360,2021-22
Aymeric Laporte,Man City,160,DEF,4,2,18,5,1,24,0,0,0,0,8,55,5,1350,1370,1340,1360,1340,1360,2021-22
James Ward-Prowse,Southampton,159,MID,10,5,7,3,1,65,0,0,0,0,21,65,3,1080,1110,1090,1140,1120,1090,2021-22
Hugo Lloris,Spurs,158,GK,0,0,16,2,0,40,0,0,0,97,11,55,4,1210,1270,1190,1200,1210,1210,2021-22
Bernardo Mota Veiga de Carvalho e Silva,Man City,155,MID,8,8,16,6,0,23,0,0,0,0,15,70,5,1350,1370,1340,1360,1340,1360,2021-22
Ederson Santana de Moraes,Man City,155,GK,0,0,20,3,0,26,0,0,0,60,4,60,5,1350,1370,1340,1360,1340,1360,2021-22
Bruno Miguel Borges Fernandes,Man Utd,151,MID,10,7,8,10,0,54,0,2,0,0,15,120,4,1210,1270,1170,1190,1190,1200,2021-22
Wilfried Zaha,Crystal Palace,150,MID,14,2,11,4,1,34,0,2,0,0,11,70,3,1090,1100,1110,1160,1080,1160,2021-22
Antonio Rüdiger,Chelsea,150,DEF,3,3,15,9,0,27,0,0,0,0,10,55,4,1290,1320,1300,1300,1250,1290,2021-22
Matthew Cash,Aston Villa,147,DEF,4,3,13,8,0,50,0,0,0,0,11,50,3,1100,1100,1140,1110,1090,1090,2021-22
Gabriel Magalhães,Arsenal,146,DEF,5,0,13,6,1,38,0,0,0,0,16,50,4,1250,1270,1150,1210,1190,1220,2021-22
José Malheiro de Sá,Wolves,146,GK,0,1,11,3,0,40,1,0,0,121,11,50,3,1200,1170,1150,1160,1080,1100,2021-22
Raphael Dias Belloli,Leeds,145,MID,11,4,5,7,0,68,0,0,0,0,14,65,3,1070,1080,1080,1070,1100,1100,2021-22
Teemu Pukki,Norwich,142,FWD,11,3,6,4,0,79,0,0,0,0,19,60,2,1030,1040,1040,1040,1040,1030,2021-22
Rúben Santos Gato Alves Dias,Man City,141,DEF,2,5,14,5,0,18,0,0,0,0,12,60,5,1350,1370,1340,1360,1340,1360,2021-22
Leandro Trossard,Brighton,141,MID,8,4,11,2,0,33,0,0,0,0,16,65,3,1100,1090,1160,1160,1100,1120,2021-22
Reece James,Chelsea,141,DEF,5,9,7,4,1,22,1,0,0,0,26,55,4,1290,1320,1300,1300,1250,1290,2021-22
Conor Gallagher,Crystal Palace,140,MID,8,6,11,10,0,38,0,0,0,0,16,55,3,1090,1100,1110,1160,1080,1160,2021-22
Michail Antonio,West Ham,140,FWD,10,10,7,6,1,43,0,1,0,0,14,75,3,1130,1190,1110,1150,1160,1180,2021-22
Ivan Toney,Brentford,139,FWD,12,5,8,8,0,47,0,0,0,0,19,65,2,1060,1070,1120,1150,1080,1120,2021-22
Saïd Benrahma,West Ham,138,MID,8,6,9,0,0,27,0,0,0,0,15,60,3,1130,1190,1110,1150,1160,1180,2021-22
Conor Coady,Wolves,138,DEF,4,0,11,4,0,43,0,0,0,0,10,45,3,1200,1170,1150,1160,1080,1100,2021-22
Phil Foden,Man City,137,MID,9,6,13,1,0,16,0,0,0,0,11,80,5,1350,1370,1340,1360,1340,1360,2021-22
Harvey Barnes,Leicester,137,MID,6,12,8,2,0,30,0,0,0,0,10,70,3,1090,1200,1100,1080,1150,1160,2021-22
Lukasz Fabianski,West Ham,136,GK,0,0,8,2,0,50,0,0,3,114,9,50,3,1130,1190,1110,1150,1160,1180,2021-22
Riyad Mahrez,Man City,135,MID,11,7,7,0,0,14,0,1,0,0,12,90,5,1350,1370,1340,1360,1340,1360,2021-22
Emmanuel Dennis,Watford,134,FWD,10,7,3,7,1,60,0,0,0,0,21,50,2,1060,1030,1090,1040,1120,1070,2021-22
Jamie Vardy,Leicester,133,FWD,15,3,4,2,0,27,1,0,0,0,24,105,3,1090,1200,1100,1080,1150,1160,2021-22
David de Gea,Man Utd,132,GK,0,0,8,0,0,57,0,0,2,127,7,50,4,1210,1270,1170,1190,1190,1200,2021-22
Eric Dier,Spurs,132,DEF,0,1,16,1,0,30,1,0,0,0,7,45,4,1210,1270,1190,1200,1210,1210,2021-22
Ollie Watkins,Aston Villa,131,FWD,11,3,10,7,0,48,0,0,0,0,17,75,3,1100,1100,1140,1110,1090,1090,2021-22
