name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season,promoted_from_championship
Cole Palmer,Chelsea,239,MID,22,13,7,7,0,44,0,0,0,0,32,50,3,1125,1190,1080,1150,1170,1230,2023-24,0
Ollie Watkins,Aston Villa,227,FWD,19,18,7,4,0,56,0,0,0,0,29,80,4,1160,1285,1140,1220,1180,1350,2023-24,0
Phil Foden,Man City,220,MID,18,7,14,2,0,26,0,0,0,0,31,75,5,1355,1365,1350,1360,1360,1370,2023-24,0
Bukayo Saka,Arsenal,219,MID,16,10,16,4,0,27,0,0,0,0,29,85,5,1350,1365,1370,1370,1330,1360,2023-24,0
Erling Haaland,Man City,210,FWD,26,8,11,1,0,24,0,1,0,0,29,140,5,1355,1365,1350,1360,1360,1370,2023-24,0
Son Heung-min,Spurs,209,MID,17,9,8,1,0,51,1,0,0,0,25,90,4,1170,1230,1110,1150,1230,1310,2023-24,0
Mohamed Salah,Liverpool,197,MID,17,11,8,2,0,29,0,2,0,0,22,125,4,1240,1370,1210,1350,1270,1390,2023-24,0
Martin Ødegaard,Arsenal,186,MID,8,11,19,2,0,23,0,0,0,0,26,85,5,1350,1365,1370,1370,1330,1360,2023-24,0
Jarrod Bowen,West Ham,182,MID,16,6,5,2,0,63,0,0,0,0,14,70,3,1100,1145,1055,1140,1150,1150,2023-24,0
Benjamin White,Arsenal,180,DEF,4,5,18,8,0,25,0,0,0,0,14,55,5,1350,1365,1370,1370,1330,1360,2023-24,0
Anthony Gordon,Newcastle,178,MID,11,15,12,10,1,45,0,0,0,0,14,55,3,1105,1280,1050,1210,1160,1355,2023-24,0
Dominic Solanke,Bournemouth,174,FWD,19,3,10,3,0,61,0,1,0,0,20,65,3,1100,1100,1055,1130,1145,1075,2023-24,0
Bruno Borges Fernandes,Man Utd,166,MID,10,9,7,9,0,52,0,1,0,0,24,85,3,1125,1220,1130,1210,1120,1230,2023-24,0
Kai Havertz,Arsenal,166,MID,12,9,16,10,0,19,0,0,0,0,15,75,5,1350,1365,1370,1370,1330,1360,2023-24,0
Alexander Isak,Newcastle,165,FWD,20,4,7,1,0,41,0,1,0,0,23,75,3,1105,1280,1050,1210,1160,1355,2023-24,0
William Saliba,Arsenal,164,DEF,2,1,18,4,0,29,0,0,0,0,13,50,5,1350,1365,1370,1370,1330,1360,2023-24,0
