name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
Kevin De Bruyne 215,Man City,251,MID,13,23,18,3,0,22,0,0,0,0,35,95,5.0,1330.0,1340.0,1260.0,1270.0,1320.0,1320.0,2019-20
Mohamed Salah 191,Liverpool,233,MID,19,10,16,1,0,26,0,0,0,0,26,125,5.0,1340.0,1350.0,1310.0,1320.0,1310.0,1330.0,2019-20
Sadio Mané 192,Liverpool,221,MID,18,10,12,3,0,28,0,0,0,0,27,115,5.0,1340.0,1350.0,1310.0,1320.0,1310.0,1330.0,2019-20
Trent Alexander-Arnold 182,Liverpool,210,DEF,4,15,14,5,0,32,0,0,0,0,24,70,5.0,1340.0,1350.0,1310.0,1320.0,1310.0,1330.0,2019-20
Jamie Vardy 166,Leicester,210,FWD,23,7,11,3,0,38,0,1,0,0,34,90,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Pierre-Emerick Aubameyang 11,Arsenal,205,FWD,22,5,10,3,1,44,0,0,0,0,37,110,4.0,1180.0,1240.0,1170.0,1170.0,1150.0,1200.0,2019-20
Raheem Sterling 214,Man City,204,MID,20,6,13,5,0,31,0,2,0,0,20,120,5.0,1330.0,1340.0,1260.0,1270.0,1320.0,1320.0,2019-20
Anthony Martial 239,Man Utd,200,MID,17,9,14,1,0,27,0,1,0,0,14,75,4.0,1220.0,1300.0,1260.0,1330.0,1180.0,1260.0,2019-20
Danny Ings 313,Southampton,198,FWD,22,2,6,3,0,44,0,1,0,0,40,60,3.0,1150.0,1040.0,1080.0,1050.0,1110.0,1080.0,2019-20
Raúl Jiménez 409,Wolves,194,FWD,17,7,15,3,0,36,0,0,0,0,33,75,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
Andrew Robertson 181,Liverpool,181,DEF,2,12,13,2,0,31,0,0,0,0,20,70,5.0,1340.0,1350.0,1310.0,1320.0,1310.0,1330.0,2019-20
Virgil van Dijk 183,Liverpool,178,DEF,5,2,15,1,0,33,0,0,0,0,14,65,5.0,1340.0,1350.0,1310.0,1320.0,1310.0,1330.0,2019-20
Marcus Rashford 233,Man Utd,177,FWD,17,8,9,3,0,29,0,2,0,0,31,85,4.0,1220.0,1300.0,1260.0,1330.0,1180.0,1260.0,2019-20
Riyad Mahrez 217,Man City,175,MID,11,14,10,0,0,15,0,0,0,0,17,85,5.0,1330.0,1340.0,1260.0,1270.0,1320.0,1320.0,2019-20
Nick Pope 93,Burnley,170,GK,0,0,15,1,0,50,0,0,1,120,23,45,3.0,1110.0,1180.0,1130.0,1070.0,970.0,1110.0,2019-20
Heung-Min Son 342,Spurs,169,MID,11,13,7,0,2,32,0,1,0,0,18,95,4.0,1180.0,1240.0,1100.0,1130.0,1200.0,1140.0,2019-20
Willian Borges Da Silva 113,Chelsea,168,MID,9,9,10,4,0,35,0,0,0,0,26,70,4.0,1220.0,1230.0,1240.0,1240.0,1220.0,1250.0,2019-20
Matt Doherty 401,Wolves,167,DEF,4,8,12,1,0,31,0,0,0,0,15,60,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
Richarlison de Andrade 150,Everton,165,MID,13,5,9,8,0,51,0,0,0,0,13,80,3.0,1100.0,1240.0,1100.0,1210.0,1170.0,1180.0,2019-20
Dean Henderson 471,Sheffield Utd,160,GK,0,1,13,2,0,33,0,0,1,97,16,45,3.0,1180.0,1200.0,1170.0,1180.0,1050.0,1110.0,2019-20
Harry Kane 338,Spurs,158,FWD,18,2,6,4,0,36,0,0,0,0,26,110,4.0,1180.0,1240.0,1100.0,1130.0,1200.0,1140.0,2019-20
Kasper Schmeichel 168,Leicester,156,GK,0,0,13,2,0,41,0,0,2,97,10,50,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Roberto Firmino 187,Liverpool,155,FWD,9,9,16,0,0,26,0,0,0,0,20,95,5.0,1340.0,1350.0,1310.0,1320.0,1310.0,1330.0,2019-20
Tammy Abraham 460,Chelsea,153,FWD,15,6,7,2,0,34,1,0,0,0,20,70,4.0,1220.0,1230.0,1240.0,1240.0,1220.0,1250.0,2019-20
Rui Pedro dos Santos Patrício 411,Wolves,153,GK,0,0,13,0,0,40,0,0,2,90,8,50,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
Jack Grealish 29,Aston Villa,149,MID,8,7,7,8,0,63,0,1,0,0,19,60,2.0,1020.0,1050.0,970.0,980.0,1000.0,1040.0,2019-20
Gabriel Fernando de Jesus 211,Man City,146,FWD,14,8,12,3,0,14,0,1,0,0,17,95,5.0,1330.0,1340.0,1260.0,1270.0,1320.0,1320.0,2019-20
John Lundstram 297,Sheffield Utd,144,DEF,5,4,10,5,0,29,0,0,0,0,15,40,3.0,1180.0,1200.0,1170.0,1180.0,1050.0,1110.0,2019-20
James Tarkowski 84,Burnley,143,DEF,2,3,15,10,0,50,0,0,0,0,14,50,3.0,1110.0,1180.0,1130.0,1070.0,970.0,1110.0,2019-20
Martin Dubravka 262,Newcastle,143,GK,0,0,11,0,0,58,0,0,0,139,7,50,3.0,1090.0,1100.0,1030.0,1040.0,980.0,990.0,2019-20
David de Gea 235,Man Utd,143,GK,0,0,13,2,0,36,0,0,0,95,8,55,4.0,1220.0,1300.0,1260.0,1330.0,1180.0,1260.0,2019-20
George Baldock 294,Sheffield Utd,142,DEF,2,4,13,7,0,39,0,0,0,0,7,45,3.0,1180.0,1200.0,1170.0,1180.0,1050.0,1110.0,2019-20
Enda Stevens 291,Sheffield Utd,142,DEF,2,4,13,7,0,39,0,0,0,0,8,50,3.0,1180.0,1200.0,1170.0,1180.0,1050.0,1110.0,2019-20
Teemu Pukki 278,Norwich,139,FWD,11,3,6,3,0,59,0,0,0,0,21,65,2.0,980.0,1020.0,1030.0,1040.0,990.0,990.0,2019-20
David Silva 219,Man City,139,MID,6,12,11,0,0,15,0,0,0,0,15,75,5.0,1330.0,1340.0,1260.0,1270.0,1320.0,1320.0,2019-20
Vicente Guaita 131,Crystal Palace,137,GK,0,0,10,1,0,42,1,0,0,111,16,50,3.0,1130.0,1120.0,1080.0,1180.0,1040.0,1040.0,2019-20
Mason Mount 463,Chelsea,137,MID,7,6,9,3,0,44,0,0,0,0,11,60,4.0,1220.0,1230.0,1240.0,1240.0,1220.0,1250.0,2019-20
Ben Foster 366,Watford,137,GK,0,0,9,1,0,64,0,0,1,117,17,50,3.0,1030.0,1140.0,1120.0,1120.0,1020.0,1150.0,2019-20
Chris Wood 91,Burnley,136,FWD,14,1,11,1,0,33,1,0,0,0,21,65,3.0,1110.0,1180.0,1130.0,1070.0,970.0,1110.0,2019-20
Mathew Ryan 47,Brighton,135,GK,0,0,9,0,0,54,0,0,0,117,14,45,2.0,1050.0,1010.0,1100.0,1100.0,1040.0,1030.0,2019-20
Harvey Barnes 172,Leicester,133,MID,6,10,9,0,0,24,0,0,0,0,9,60,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Ederson Santana de Moraes 212,Man City,133,GK,0,0,16,3,1,31,0,0,0,68,2,60,5.0,1330.0,1340.0,1260.0,1270.0,1320.0,1320.0,2019-20
John Egan 295,Sheffield Utd,133,DEF,2,1,13,3,1,33,0,0,0,0,9,45,3.0,1180.0,1200.0,1170.0,1180.0,1050.0,1110.0,2019-20
Jordan Ayew 468,Crystal Palace,132,FWD,9,3,12,6,0,45,0,0,0,0,19,50,3.0,1130.0,1120.0,1080.0,1180.0,1040.0,1040.0,2019-20
Sergio Agüero 210,Man City,132,FWD,16,6,5,1,0,18,0,1,0,0,14,120,5.0,1330.0,1340.0,1260.0,1270.0,1320.0,1320.0,2019-20
Neal Maupay 502,Brighton,131,FWD,10,3,8,3,0,36,0,1,0,0,21,60,2.0,1050.0,1010.0,1100.0,1100.0,1040.0,1030.0,2019-20
Adama Traoré 417,Wolves,130,MID,4,9,7,1,0,33,0,0,0,0,14,50,4.0,1230.0,1190.0,1180.0,1230.0,1200.0,1200.0,2019-20
César Azpilicueta 105,Chelsea,130,DEF,2,6,8,1,0,53,0,0,0,0,16,60,4.0,1220.0,1230.0,1240.0,1240.0,1220.0,1250.0,2019-20
Ayoze Pérez 265,Leicester,129,MID,8,5,9,0,0,25,0,0,0,0,9,65,3.0,1210.0,1160.0,1150.0,1080.0,1210.0,1100.0,2019-20
Lewis Dunk 42,Brighton,128,DEF,3,3,9,9,0,50,0,0,0,0,17,45,2.0,1050.0,1010.0,1100.0,1100.0,1040.0,1030.0,2019-20
